ID,Study,AgeinMonths,AgeCentered,AgeCat,AgeCatCentered,Gender,Race,Order,Original_FR_Judgment,Original_Con_Judgment,Original_FR_Preference,Original_Con_Preference,Original_FR_NoCostPunish,Original_Con_NoCostPunish,Original_FR_CostlyPunish,Original_Con_CostlyPunish,Original_FR_RewardDecision,Original_Con_RewardDecision,Original_FR_RewardGiven,Original_Con_RewardGiven,Comparison_FR_Judgment,Comparison_Con_Judgment,Comparison_FR_Preference,Comparison_Con_Preference,Comparison_FR_NoCostPunish,Comparison_Con_NoCostPunish,Comparison_FR_CostlyPunish,Comparison_Con_CostlyPunish,Comparison_FR_RewardDecision,Comparison_Con_RewardDecision,Comparison_FR_RewardGiven,Comparison_Con_RewardGiven
431,4,131,40.5,2,1,0,1,4, , , , , , , , , , , , ,2,4,1,4, , , , , , , , 
432,4,132,41.5,2,1,0,3,2, , , , , , , , , , , , ,1,4,1,4, , , , , , , , 
501,5,49,-39.34375,1,-1,0,1,2,4,4,4,4,1,1,1,0,1,1,2,3,1,4,1,4,0,1,0,0,1,1,1,3
502,5,50,-38.34375,1,-1,0,4,4,1,4,1,4,0,0,0,0,0,1,1,2,1,4,1,4,0,0,0,0,0,1,1,2
503,5,50,-38.34375,1,-1,0,1,5,1,4,1,4,0,0,0,0,0,1,0,3,1,4,1,4,1,0,1,1,1,1,2,1
504,5,52,-36.34375,1,-1,1,1,6,4,4,4,4,0,0,0,0,1,1,3,3,4,4,4,4,0,0,0,0,1,1,3,3
505,5,53,-35.34375,1,-1,0,5,7,1,4,1,4,0,0,0,0,0,0,0,0,1,3,1,4,0,0,0,0,0,0,0,0
506,5,54,-34.34375,1,-1,1,4,8,1,4,1,4,0,0,0,0,1,1,2,1,1,4,3,3,0,0,0,0,0,1,0,2
507,5,56,-32.34375,1,-1,1,1,7,1,4,1,4,1,0,0,0,0,1,0,3,1,4,1,4,1,1,1,1,0,1,0,3
508,5,56,-32.34375,1,-1,0,1,8,1,1,1,1,1,0,0,0,0,1,0,2,1,1,1,1,1,0,0,0,0,1,0,2
